transaction_id,seller_id,month,transaction_date,category,gmv,commission_rate,commission,gst_on_commission,shipping_fee,return_amount,expected_payout,actual_payout,discrepancy_amount,status,root_cause,payment_method,days_outstanding,sla_breach,resolution_status
TXN100000,SLR1110,Nov-2024,2024-11-29,Grocery,500.0,0.15,75.0,13.5,94.45,16.08,300.97,300.97,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100001,SLR1109,Dec-2024,2024-12-22,Beauty,500.0,0.15,75.0,13.5,24.51,12.0,374.99,374.99,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100002,SLR1079,Oct-2024,2024-10-07,Grocery,500.0,0.12,60.0,10.8,35.64,55.09,338.47,338.47,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100003,SLR1103,Oct-2024,2024-10-07,Sports,500.0,0.15,75.0,13.5,36.4,36.2,338.9,338.9,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100004,SLR1105,Dec-2024,2024-12-03,Grocery,500.0,0.15,75.0,13.5,39.22,74.53,297.75,297.75,0.0,Processed,NONE,UPI,0,False,N/A
TXN100005,SLR1049,Dec-2024,2024-12-30,Beauty,500.0,0.12,60.0,10.8,71.66,31.55,325.99,325.99,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100006,SLR1111,Oct-2024,2024-10-04,Home & Kitchen,500.0,0.15,75.0,13.5,122.25,40.65,248.6,248.6,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100007,SLR1053,Oct-2024,2024-10-30,Grocery,500.0,0.12,60.0,10.8,39.27,31.31,358.62,358.62,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100008,SLR1013,Dec-2024,2024-12-29,Electronics,510.18,0.1,51.02,9.18,121.34,96.21,232.43,232.43,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100009,SLR1052,Nov-2024,2024-11-06,Toys,500.0,0.12,60.0,10.8,69.8,54.99,304.41,304.41,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100010,SLR1035,Nov-2024,2024-11-13,Sports,500.0,0.12,60.0,10.8,38.7,63.45,327.05,327.05,0.0,Processed,NONE,UPI,0,False,N/A
TXN100011,SLR1113,Nov-2024,2024-11-29,Toys,500.0,0.15,75.0,13.5,109.77,1.07,300.66,300.66,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100012,SLR1047,Oct-2024,2024-10-28,Sports,500.0,0.12,60.0,10.8,63.92,102.38,262.9,262.9,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100013,SLR1089,Dec-2024,2024-12-25,Toys,500.0,0.15,75.0,13.5,32.77,78.85,299.88,299.88,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100014,SLR1105,Nov-2024,2024-11-15,Grocery,500.0,0.15,75.0,13.5,55.02,52.2,304.28,304.28,0.0,Processed,NONE,UPI,0,False,N/A
TXN100015,SLR1027,Nov-2024,2024-11-17,Automotive,500.0,0.1,50.0,9.0,116.32,17.09,307.59,307.59,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100016,SLR1101,Oct-2024,2024-10-29,Electronics,500.0,0.15,75.0,13.5,28.53,58.01,324.96,324.96,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100017,SLR1072,Oct-2024,2024-10-08,Grocery,500.0,0.12,60.0,10.8,42.59,22.32,364.29,364.29,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100018,SLR1004,Nov-2024,2024-11-27,Sports,894.65,0.08,71.57,12.88,26.57,34.82,748.81,748.81,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100019,SLR1059,Dec-2024,2024-12-12,Electronics,500.0,0.12,60.0,10.8,71.6,123.92,233.68,233.68,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100020,SLR1062,Dec-2024,2024-12-12,Beauty,535.94,0.12,64.31,11.58,77.99,117.37,264.69,264.69,0.0,Processed,NONE,UPI,0,False,N/A
TXN100021,SLR1044,Oct-2024,2024-10-10,Sports,500.0,0.12,60.0,10.8,128.89,8.73,291.58,291.58,0.0,Processed,NONE,UPI,0,False,N/A
TXN100022,SLR1003,Nov-2024,2024-11-28,Books,1545.02,0.08,123.6,22.25,26.45,255.26,1117.46,1117.46,0.0,Processed,NONE,UPI,0,False,N/A
